days,accuracy,frac
7,0.500372300819,0.05
37,0.532738095238,0.05
67,0.5,0.05
97,0.568452380952,0.05
127,0.596380802518,0.05
157,0.642361111111,0.05
7,0.5,0.05
37,0.559195830231,0.05
67,0.465773809524,0.05
97,0.534226190476,0.05
127,0.539351851852,0.05
157,0.500821018062,0.05
7,0.494791666667,0.05
37,0.5,0.05
67,0.604016064257,0.05
97,0.673716012085,0.05
127,0.53164556962,0.05
157,0.548771407297,0.05
7,0.499255952381,0.05
37,0.537202380952,0.05
67,0.501116902457,0.05
97,0.472514619883,0.05
127,0.52306547619,0.05
157,0.507073715562,0.05
7,0.501602564103,0.05
37,0.511904761905,0.05
67,0.509635974304,0.05
97,0.576636904762,0.05
127,0.430555555556,0.05
157,0.570254110613,0.05
7,0.500465983225,0.05
37,0.516927083333,0.05
67,0.532102728732,0.05
97,0.492219492219,0.05
127,0.511541325391,0.05
157,0.51600893522,0.05
7,0.500372300819,0.1
37,0.616071428571,0.1
67,0.52380952381,0.1
97,0.824404761905,0.1
127,0.745869394178,0.1
157,0.689236111111,0.1
7,0.5,0.1
37,0.545048399106,0.1
67,0.607142857143,0.1
97,0.584077380952,0.1
127,0.662037037037,0.1
157,0.697044334975,0.1
7,0.489583333333,0.1
37,0.575892857143,0.1
67,0.755020080321,0.1
97,0.760574018127,0.1
127,0.701414743112,0.1
157,0.617274758004,0.1
7,0.502976190476,0.1
37,0.575148809524,0.1
67,0.472822040208,0.1
97,0.541520467836,0.1
127,0.508928571429,0.1
157,0.541325390916,0.1
7,0.5,0.1
37,0.599702380952,0.1
67,0.572805139186,0.1
97,0.674107142857,0.1
127,0.96875,0.1
157,0.681614349776,0.1
7,0.500465983225,0.1
37,0.528645833333,0.1
67,0.598715890851,0.1
97,0.466011466011,0.1
127,0.48399106478,0.1
157,0.641846612063,0.1
7,0.500372300819,0.15
37,0.696428571429,0.15
67,0.923363095238,0.15
97,0.990327380952,0.15
127,0.887490165224,0.15
157,0.769965277778,0.15
7,0.5,0.15
37,0.598659717051,0.15
67,0.716517857143,0.15
97,0.709821428571,0.15
127,0.778935185185,0.15
157,0.57881773399,0.15
7,0.494047619048,0.15
37,0.732886904762,0.15
67,0.866666666667,0.15
97,0.937311178248,0.15
127,0.921072226359,0.15
157,0.676842889054,0.15
7,0.499255952381,0.15
37,0.643601190476,0.15
67,0.507073715562,0.15
97,0.598830409357,0.15
127,0.520833333333,0.15
157,0.56738644825,0.15
7,0.497596153846,0.15
37,0.511160714286,0.15
67,0.51391862955,0.15
97,0.709821428571,0.15
127,0.930555555556,0.15
157,0.776532137519,0.15
7,0.500465983225,0.15
37,0.5,0.15
67,0.500802568218,0.15
97,0.424242424242,0.15
127,0.75800446761,0.15
157,0.635889798958,0.15
7,0.500372300819,0.2
37,0.826636904762,0.2
67,0.99181547619,0.2
97,1.0,0.2
127,0.900865460268,0.2
157,0.815972222222,0.2
7,0.5,0.2
37,0.644825018615,0.2
67,0.784226190476,0.2
97,0.728422619048,0.2
127,0.868055555556,0.2
157,0.724958949097,0.2
7,0.502232142857,0.2
37,0.693452380952,0.2
67,0.971084337349,0.2
97,0.975075528701,0.2
127,0.942665673864,0.2
157,0.780342516754,0.2
7,0.498511904762,0.2
37,0.697172619048,0.2
67,0.632166790767,0.2
97,0.526315789474,0.2
127,0.669642857143,0.2
157,0.589724497394,0.2
7,0.495993589744,0.2
37,0.748511904762,0.2
67,0.687366167024,0.2
97,0.941964285714,0.2
127,0.953125,0.2
157,0.822122571001,0.2
7,0.500465983225,0.2
37,0.5,0.2
67,0.5,0.2
97,0.399672399672,0.2
127,0.883097542815,0.2
157,0.718540580789,0.2
